attribute_id,business_id,name,address,city,latitude,longitude,stars,review_count,opening_hours_id
ATR1,--gJkxbsiSIwsQKbiwm_Ng,Salon Lofts - West Kennedy,4545 W Kennedy Blvd,Tampa,27.9451223,-82.5210814,5.0,6,a75
ATR1,-hWqt93mXwiPUmS12suf6w,K&S Natural Nail & Spa,3321 W Gandy Blvd,Tampa,27.894041,-82.499752,4.5,62,a464
ATR1,0Sa2hQnbS9hoRthHKOGepg,The Nail Shoppe of S Tampa,4229 Henderson Blvd,Tampa,27.9262367,-82.514936,4.5,88,a47
ATR1,14wug4g_h4K-8zqxGIQ7gw,New Image Nail Spa,250 37th Ave N,Saint Petersburg,27.805725,-82.636324,4.0,43,a296
ATR1,16bxqGvRmT3yUdNdluuJXg,R Salon,"2454 N McMullen Booth Rd, Ste 403, Northwood Commons",Clearwater,28.010465,-82.708467,4.5,46,a270
ATR1,1uXrs6OJPzi2G6cxx5o32A,Idee Nails & Spa,"4011 Tampa Rd, Ste 13",Oldsmar,28.0375497,-82.6581056,4.5,7,a294
ATR1,3pxDvNe2bHkT5hEFssrfUA,Salon 427,4399 Commercial Way,Spring Hill,28.4949470606,-82.5987853158,4.0,44,a25
ATR1,5-9-1Ejn4Bf5N_RD0ppvzA,Bebe Nails & Spa,2140 Corporate Center Dr,Trinity,28.1899559473,-82.6264335515,3.0,25,a80
ATR1,5-Q_6MLNtoVt7u4fwuzcmw,D'amico Hair & Nail Lounge,1933 W Brandon Blvd,Brandon,27.9367681,-82.3157037,3.5,19,a91
ATR1,5B40GOi3vnWkrerGNpIyFA,Fonda Nails & Spa Studio,2421 Central Ave,St Petersburg,27.7712024886,-82.6662192866,4.5,56,a128
ATR1,5EJQLjYKZAXhrur_h1n47Q,Luxecares Nails & Spa,"9300 4th St N, Ste E",St. Petersburg,27.8570652,-82.6391304,4.5,297,a284
ATR1,5q-H6L0lU40A4kWvl6amig,Solar Nails & Spa,14455 N Dale Mabry Hwy,Tampa,28.0797457,-82.5060906,4.0,81,a167
ATR1,6OrXDINe8_u4UU1VetFiow,Image Nails,"5130 S Dale Mabry Hwy, Ste 112",Tampa,27.8906,-82.5059409,4.0,6,a125
ATR1,6XZESJv1rcBnSDNn6X86Uw,Prestige Natural Nail Bar,"209 N Meridian Ave, Unit 1",Tampa,27.948967,-82.448429,4.5,33,a77
ATR1,77ukyeEUObX--vB3BBp_6A,Dior Nails & Spa,"2223 N Westshore Blvd, Ste B254",Tampa,27.9656353,-82.5212659548,3.0,34,a21
ATR1,7EIozin9bIBL0T-gJiGI7Q,Nail Tips & Spa,"6801 Gulfport Blvd, Ste 11",South Pasadena,27.758434,-82.732834,4.0,11,a287
ATR1,7GByhnAZt6pcR2nSsYBWvQ,Nails Orchid,2280 4th St N,St. Petersburg,27.7924428671,-82.6391199231,3.5,36,a391
ATR1,7kebzhOtTMwX7wP3fGfgpw,The Red Room Salon,13445 County Line Rd,Spring Hill,28.4350927926,-82.4925626814,4.5,28,a279
ATR1,8Mkxq3JR4s7-K7AYQ7YWBw,Diva Nails and Spa,664 S Gulfview Blvd,Clearwater,27.966848,-82.8246148,3.0,33,a38
ATR1,9Ldo7ocJHVrEzRXUpN3Weg,Tampa Nails,2123 W Kennedy Blvd,Tampa,27.9451144124,-82.4818192601,2.5,121,a89
ATR1,9Rww8yE6Dm4dSMEq09nwXg,Holly Nails & Spa,9101 Belcher Rd,Pinellas Park,27.8553467494,-82.7363080904,4.5,16,a1
ATR1,AtfFqRVRD9w6bB5l4UyChg,AquaStone Nail Spa,2791 Gulf To Bay Blvd,Clearwater,27.9602673669,-82.7216805461,4.5,58,a51
ATR1,C9-AL6Cxfb7cJ3tQ07abzg,Crave Spa SOHO,708 S Howard Ave,Tampa,27.936576,-82.482755,3.0,162,a258
ATR1,EIy9vk7eeIpPHRjD1-PnNw,K's Luxury Nails,11108 Bloomingdale Ave,Riverview,27.8940307907,-82.3177493,4.5,110,a16
ATR1,E_jnzr_iuZGeUeP-5VMi2Q,Heavenly Nails,"1155 S Dale Mabry Hwy, Ste 18",Tampa,27.932721,-82.506595,4.0,633,a290
ATR1,EbBQI254WN0AoH-y21-gCA,Nouvelle Beauty Bar,"475 Central Ave, Ste 101",St. Petersburg,27.7714342,-82.6399459,4.0,172,a42
ATR1,FqTW9SXHTBt5F9tlvNG6Yw,Beach Hair Affair,421 Corey Ave,St. Pete Beach,27.7421607,-82.7503879,4.5,32,a361
ATR1,GP8aRgm2lbv7Hgv3pe2a-w,Nikkole Michaels' Salon & Spa,1397 Kass Circle,Spring Hill,28.4534386,-82.5926122,4.5,6,a105
ATR1,GZhMnIPBKwLtBgtvZ2_3BQ,Bangz Salon,4044 W Kennedy Blvd,Tampa,27.9444196,-82.511616,4.5,50,a185
ATR1,HOYYuo5ErA8guAtPfxFT1A,Paint Nail Bar -  St Pete,320 Central Ave,Saint Petersburg,27.771009,-82.6378521,4.5,53,a140
ATR1,HWgd0hxR37LWhsO2U22EBg,Poshe Day Spa & Nails,914 4th St N,Saint Petersburg,27.7815142,-82.638728,3.5,49,a277
ATR1,HtO3SPx1BiqDwDwd3_kd3w,Aacardi-The Salon,4046 Park St N,Saint Petersburg,27.8090223,-82.7548148,4.0,30,a243
ATR1,IgCwdvf8RTNUkcUhylBGBg,Manhattan Nails Salon,3511 S Manhattan Ave,Tampa,27.9110887,-82.5183204,4.0,134,a15
ATR1,Ikm8LPbDZlJd4wPk-kQezw,Poshe Nails,2141 Collier Pkwy,Land O Lakes,28.1883720151,-82.4382759624,3.5,64,a268
ATR1,JJt2xm-_1pIbtB6H8-f0Dw,Nail Art & Spa,3020 22nd Ave N,St. Petersburg,27.7915096,-82.6744819,4.0,326,a314
ATR1,KIjNyd57VtwQStcU5DhVmg,OrganiX Nail Salon,11135 Spring Hill Dr,Spring Hill,28.4622199,-82.5392775,3.5,12,a71
ATR1,LULmYza-tIDL4k41UHyCug,Salon Amoré by Cara Scott,30583 US 19 N,Palm Harbor,28.0510855,-82.7359996,4.5,14,a307
ATR1,N53TXBzvwtep-O1LTYrLVA,Violet Nails & Spa,10684 Gandy Blvd N,Saint Petersburg,27.8675212,-82.6227906,4.0,133,a149
ATR1,NjfHajT4G22xIINqpmNlXw,Rock Your Locks Hair Salon,904 Lithia Pinecrest Rd,Brandon,27.9245456239,-82.2726696078,4.5,93,a454
ATR1,NrNpYiY_fTXifmbhL5gKew,Amethia Nail & Spa,6820 E Fowler Ave,Temple Terrace,28.054929,-82.377512,3.5,58,a146
ATR1,PV_RWlP3SPTGbi0AucsHng,Beauty on Broadway Salon,300 Monroe St,Dunedin,28.013487,-82.78948,4.5,29,a226
ATR1,PVbkPTLHeAZfCp-nUTS-Ew,Luxecares Nails & Spa,1559 S Highland Ave,Clearwater,27.939808,-82.7739233,4.0,145,a102
ATR1,Q8Kno85J2thZH31KGb-Krg,Lilian's Nails Bar,16055 Tampa Palms Blvd W,Tampa,28.0999159366,-82.399724678,3.5,50,a93
ATR1,QzfP8iN3AarwBxUXPeRExQ,Oasis Salon Studio & Spa,12000 Indian Rocks Rd,Largo,27.8813174,-82.8332592,3.5,64,a342
ATR1,RXW3WsOBAkspYaJ96GRQUg,K Soho Salon,"715 S Howard Ave, Ste 100",Tampa,27.936284,-82.48319,4.5,42,a305
ATR1,RbzuOJPSnR4NnG1On36ULg,Polish'd Nail Bar,2511 W Swann Ave,Tampa,27.9377235,-82.4857498,4.5,48,a291
ATR1,RfBadspMiubpR0lDkVDdNA,Ermira’s Med Spa,3945 58th St N,Saint Petersburg,27.8075065,-82.7120671,4.5,11,a422
ATR1,TKfNGtriRJ5Azh8eNbFIkA,Shear Art Salon & Spa,13124 N Dale Mabry Hwy,Tampa,28.066501034,-82.50644546,4.0,31,a161
ATR1,TvcjDDA9WT4yErr53MLVKw,Essentials Spa & Salon,4301 4th St N,Saint Petersburg,27.8113779095,-82.6381657273,4.0,32,a228
ATR1,VoeI1ecQdnQd81MDIFNxLQ,Lavender Spa & Nails,"2398 Grand Cypress Dr, Ste 430",Lutz,28.191602,-82.392987,3.5,17,a236
ATR1,VsscoyR-OjQMKY2bNXJNYA,Plush Nails & Spa,1724 S Dale Mabry Hwy,Tampa,27.9277599,-82.505553,4.5,31,a67
ATR1,W4w89o1veJ7yhJKHs6Pdtg,Nail Art,7065 W Waters Ave,Tampa,28.0286609447,-82.559659159,2.5,44,a96
ATR1,WM7AXRA1BB6hVszoPvvkyQ,Cosmo Nail Bar,2915 West Bay Dr,Belleair Bluffs,27.9168045,-82.8182719,3.0,5,a74
ATR1,X2Z7ffuYrneF4z7HCue_NQ,Paris Nails Studio,9425 US Hwy 301,Riverview,27.8604792735,-82.3267341033,4.0,73,a415
ATR1,XUTboDILPqOYaEfR6yuPww,MY SALON Suite® of St. Petersburg,415 3rd St S,St. Petersburg,27.7668417,-82.6372086,4.5,6,
ATR1,Y36t15AiaL9ZPDHkD3zpoA,Admired Nails & Spa,"13002 Seminole Blvd, Ste 3",Largo,27.8914045475,-82.787819873,4.5,34,a218
ATR1,Yh4QJvWKUBSsI0S_zzFFfA,Nail Kingdom,1215 Bruce B Down Blvds,Wesley Chapel,28.17416,-82.355373,4.0,65,a192
ATR1,Z-RG-NA1iwcUkFuxShGooA,La Mirage Salon & Spa,3730 Tampa Rd,Palm Harbor,28.0636968,-82.7151135,3.5,50,a169
ATR1,bEWF81b1O9-U3GwkEbo49w,Ea McGill's Salon & Barbery,735 Broadway,Dunedin,28.0117234,-82.7896255,5.0,8,a444
ATR1,c3Cg--znjoEsTLBNkaEwaw,Nail-Tastic Organic Spa,5300 4th St N,Saint Petersburg,27.8206749,-82.6389084,4.5,75,a187
ATR1,cM6WfPo0bRr0QOceNoZEIQ,Sunshine Nails,"13847 Walsingham Rd, Ste H",Largo,27.881717,-82.831823,4.0,50,a192
ATR1,cNe2kv4OX-ciAAlDrT0nvA,S T Nails & Spa,"2300 Gulf Blvd, Ste 3",Indian Rocks Beach,27.9052031,-82.8475209,4.5,37,a19
ATR1,dHT6IdPnAbMvLEPNjoACLg,Garden Bay Nails & Spa,6754 22nd Ave N,Saint Petersburg,27.7913882,-82.7324199,4.5,118,a30
ATR1,etOBc91UiRijNM8f1zeJmg,Rapunzel's Salon & Spa,"1519 Gulf Blvd, Ste 6",Indian Rocks Beach,27.8986647,-82.8478654,4.5,15,a151
ATR1,fYFuwZRBCYdJ_lmU6WG9rQ,Forever Polished Nail Studio,2720 34th St N,Saint Petersburg,27.7962417,-82.6799774,4.5,10,a292
ATR1,fbEVK13G8dQlg4y23uxMGg,Whole Aveda Salon & Spa,"3687 Tampa Rd, Ste 206, Bay Arbor Place",Oldsmar,28.045372,-82.6815496,4.0,107,a429
ATR1,gWtfAb3VVOSApDXrlOg5Aw,Channelside Nail Salon,1208 E Kennedy Blvd,Tampa,27.950959,-82.4469831,3.5,155,a441
ATR1,hY_gLXsHXPEsr7EcWsvo1A,Serenity Salon & Spa,10109 Montague St,Tampa,28.0437408,-82.596977,4.5,108,a249
ATR1,jKH7pAblR2WnZcVeFNYqhw,Instyle Nails,33199 US Hwy 19 N,Palm Harbor,28.073936,-82.7372752,2.5,10,a231
ATR1,jKgmluD959CLD8sdmBuQ1g,E Nails & Tan,10589 Ulmerton Rd,Largo,27.8951271,-82.7856827,3.0,17,a112
ATR1,jZPE1ozYRmVQdIvp49L0gQ,Triple A Dominican Hair & Spa,4002 W Waters Ave,Tampa,28.0250004,-82.5092583,4.0,16,a397
ATR1,kDqSxNUWRaNR0sulKp7gPg,Volcano Nail Spa,7151 Seminole Blvd,Seminole,27.8369667,-82.786218,3.5,6,a93
ATR1,lOg1y6y350CdnfYlHJpHYg,Reinas Beauty Bar,"105 US Hwy 301 S, Ste 120",Tampa,27.9479684,-82.3545556,3.0,57,a430
ATR1,lgrDv-9XYWoTBuGByGshYw,Star Nails & Spa by Heather,"7620 Gunn Hwy, Ste 150",Tampa,28.0781803,-82.5713708,4.5,71,a47
ATR1,mkmalengTS0LarMm_ZiJ0w,AVEDA Hyde Park Village | Salon Norrell ,720 S Village Cir,Tampa,27.9361073,-82.475205,4.5,180,a395
ATR1,n5XX0M476XlmChBEHTPdZA,Top Nails and Spa,1620 Missouri Ave N,Largo,27.931805,-82.786895,4.5,56,a258
ATR1,o644e8y0gqcrjhX_l-HY8w,Tre Nail Lounge,11011 Countryway Blvd,Tampa,28.0608418,-82.6225448,5.0,66,a152
ATR1,riGn-RYqkWMUBtI5Qosoaw,Blo Blow Dry Bar,4102-2 W Boy Scout Blvd,Tampa,27.9654544,-82.5123617,4.5,96,a394
ATR1,sT2TMyWiTvHo2tAs0HENXw,Tranquility Wellness Spa,149 2nd St N,St. Petersburg,27.772576,-82.635388,4.0,51,a252
ATR1,u5k7hyTH9oUjNSFpfMkiQA,Spa 801,801 Tyrone Blvd N,Saint Petersburg,27.7801807,-82.7138148,5.0,28,a473
ATR1,uPoGBg74wu5szsOBzITRCg,NiNi Nails Salon,"10330 N Dale Mabry Hwy, Ste 130",Tampa,28.044209,-82.5054809,4.5,251,a93
ATR1,x5HmqZv7vv7AEInHOIaRyQ,Sweet Nail Spa,28658 Florida 54,Wesley Chapel,28.2380578,-82.3418319,4.0,27,a199
ATR1,xH1QWjvqeTnnY91PL2AIaw,Gypsy iBrows,8721 Little Rd,New Port Richey,28.2835716865,-82.6775249605,4.0,17,a349
ATR1,xH8XpThirOKC_sRmYSp9FQ,Venus Nail Lounge,2481 N McMullen Booth Rd,Clearwater,28.011201,-82.710176,4.0,20,a55
ATR1,yQ7kjXT2w_ISkQC2TMCzEg,Element 54 Salon,21776 FL-54,Lutz,28.1877312144,-82.4558124,4.5,17,a126
ATR1,yaqvJd1RUNGbRcsh4OqUuA,Glam Kitty Hair Studio,"9150 49th St N, Ste A",Pinellas Park,27.8550783,-82.7006429,4.5,15,a250
ATR1,zdHYuDA541CB205_EiRDLg,Tribeca Colorsalon,"1600 E 8th Ave, Ste A-137",Tampa,27.961113,-82.44139,4.5,356,a400
ATR2,-0qOecqGXEf_6TwaiX9E5A,Sharmaine's Salon & Day Spa,"483 Mandalay Ave, Ste 206",Clearwater Beach,27.9814984,-82.8267403,4.0,41,a98
ATR2,2GreXhwEXRLc673Mj_Vyjg,The Spa by Folashadé,"3818 Gunn Hwy, Ste 200",Tampa,28.036974,-82.5084124594,5.0,14,a57
ATR2,2gP6_NF9T4rQmcDgFESfBQ,Luxury Lotus Spa,"13542 N Florida Ave, Ste 212",Tampa,28.071849,-82.4598280484,4.5,10,a67
ATR2,9MHse2q2M69nNJeIGtAoEg,Pia Esthetics Day Spa,3210 W Bay To Bay Blvd,Tampa,27.9195796001,-82.4958075164,4.5,153,a142
ATR2,KLBZVKLBkF5OqVSnbBo5lQ,Gorgeous Nails & Spa,11632 N Dale Mabry Hwy,Tampa,28.0545694,-82.5048422,4.5,30,a114
ATR2,_ADJ8WRmfok-01lwYplybQ,Divine Designs Salon & Spa,1606 Oakfield Dr,Brandon,27.934469,-82.3100228,4.0,194,a82
ATR2,g194RQZ3Lwp9SOrJxGKXAw,Retro Salon and Nail Studios,8557 W Linebaugh Ave,Tampa,28.0421817,-82.5785926,4.0,11,a309
ATR3,-2slH9PUjJ9YK16b0hGxWg,Happy Nail and spa,17002 Palm Pointe Dr,Tampa,28.11769482,-82.3817151296,3.5,65,a317
ATR3,-P008_MriBRX7JjdMLAK7w,VIP Nails Studio,11343 Big Bend Rd,Riverview,27.7909196,-82.3169228,4.0,11,a210
ATR3,0MJvRl1WeW_fKjKDGF4Itw,EV Nail Art and Spa,1709 Main St,Dunedin,28.0180215,-82.7575666,4.5,10,a386
ATR3,3Hsb0S7keIjg956n-7Ckow,Frenchies Modern Nail Care - Tampa,"317 W Palm Ave, 105A",Tampa,27.96243,-82.46484,4.5,58,a408
ATR3,3Vu_bxaqbTwnzGju85R2Yg,Solar Nail,4970 Ridgemoor Blvd,Palm Harbor,28.0999181,-82.6912198,3.0,21,a137
ATR3,8_UPjFzaihKnjyTTesO7Hw,Legacy Nails & Spa,"3705 Tampa Rd, Ste 7",Oldsmar,28.0455759,-82.6779619,4.5,33,a457
ATR3,8pI6NhRCrxHUmJ8M_8T3uA,Brandon Hair Nails & Spa,652 Brandon Town Ctr Dr,Brandon,27.9303321,-82.325358,2.5,34,a377
ATR3,9yyd7GaPhPjhhXWq61y3IA,V Nails And Spa,4227 W Kennedy Blvd,Tampa,27.9451045,-82.5150606,4.0,18,a365
ATR3,AtdLdhClg_yhrjmkDTmcUQ,Beautiful Nails,10815 102nd Ave,Seminole,27.8795953021,-82.8020065503,2.5,18,a413
ATR3,Bi_kjzDgcNB9yobFM_QC4A,Encore Nails Bar,12355 FL-54 W,Odessa,28.1913650948,-82.6115739,3.0,12,a30
ATR3,Bvmf9glFc5H1Kxy1Lx4WhA,Harmony Nails & Spa,7807 9th St N,St Petersburg,27.8443251,-82.6461287,3.5,40,a231
ATR3,C_1c-7W00JC3IUAAcisLZw,Suncoast Nail Spa,"685 Main St, Unit B",Safety Harbor,27.9911654,-82.6940311,4.5,31,a154
ATR3,GlmLkbkOtdzTHnTFeWwxyA,Nails on Ninth - Natural Healthy Nails,3214 9th St N,Saint Petersburg,27.8015091,-82.6471204,5.0,50,a93
ATR3,GptIRsIFL3xq8YrDVOarXw,Ocean Blue Nail Spa,"17307 Gulf Blvd, Ste B",North Redington Beach,27.8220508,-82.8264036,4.5,12,a80
ATR3,HJQMHwCpLe0m1BeCTEbn3w,Sunshine Organic Nails Spa,7811 Temple Terrace Hwy,Tampa,28.032341,-82.3682648,4.0,18,a440
ATR3,LFXtVrxODMM88Pb6OOk7eg,Scarlett Ibis Nails & Spa,10036 Cross Creek Blvd,Tampa,28.143173,-82.3268125,3.0,18,a399
ATR3,NEqlF-UdizoKZ3SEwh5VEg,Envy Nail Bar,3321 Tampa Rd,Palm Harbor,28.0682374,-82.7238129,4.0,42,a30
ATR3,NuC8lNjQWJgSQ3y3iIdZwQ,Oasis Nails,"27607 State Rd 56, Unit 107",Wesley Chapel,28.186412,-82.359924,4.0,87,a14
ATR3,RvJdycyrP06vcTNr-byCTg,Grand Nails and Spa,"22299 State Road 54, Ste 108",Lutz,28.186557,-82.4479429,4.0,65,a79
ATR3,SA-lp8HJOh8km9sZJsJnfg,Classy Nails Of Tampa,3607 W Waters Ave,Tampa,28.0268677,-82.5019024,4.5,41,a271
ATR3,SfqFU9nSMgHvW_nYtBHXBQ,Vogue Nails and Spa,209 W Bloomingdale Ave,Brandon,27.8929987,-82.287871,4.0,11,a137
ATR3,T9kf1YuMNz6xrajRh7enyg,Noire The Nail Bar,4735 Gulf Blvd,St. Pete Beach,27.7220805652,-82.7402879117,4.5,44,a93
ATR3,UN1ZMropPN_Vo3gPMPGkXA,Wanderlust Nail Spa,1906 Gulf To Bay Blvd,Clearwater,27.9609017,-82.7579853,4.0,34,a362
ATR3,Vh6mWpkzFnV4g8monRCbNA,In-Fashion Nail & Massage,"6989 Seminole Blvd, Ste 3",Seminole,27.8354643,-82.7866602,4.5,8,a179
ATR3,YcBBSy0kX-KCtHrXo7WuQQ,Lavender Nail Bar,10380 Seminole Blvd,Largo,27.866889,-82.788151,4.0,42,a93
ATR3,aOz57yKwaphCmt8xoFCG5g,Cabelo Salon,10720 State Rd 54,New Port Richey,28.192072,-82.637419,4.0,22,a66
ATR3,aQopU26oKyD1mmDS7CZPtw,Lily Nails and Spa,875 E Klosterman Rd,Tarpon Springs,28.1239624979,-82.7419424027,4.0,13,a14
ATR3,cV6qQ58k6hPYci5n8jxX5Q,Bali Nail Spa,3969 Van Dyke Rd,Lutz,28.1279776,-82.5048267,4.5,51,a24
ATR3,eLNl3SVhnHDB_gRwHQVZVg,Angel Nails & Spa,13028 Race Track Rd,Tampa,28.070822,-82.632542,4.5,7,a14
ATR3,ezJI63Crog5fsWie1xzG6A,My Nails & Day Spa,6798 Park Blvd,Pinellas Park,27.8389149,-82.7325647,3.5,30,a384
ATR3,fRESw-gh5JWNDdovgTG05Q,pink and white nails bar,204 Oakfield Dr,Brandon,27.9345501,-82.2873749,4.5,10,a235
ATR3,gDi3oN7LsLFsEg7ayg2T6A,Love Angel Nails By TY,10791 Park Blvd,Seminole,27.8411625,-82.7883131,5.0,5,a100
ATR3,gZH68o3QrxiMFtGg2zVqgQ,HT Nails & Spa,18470 N US Hwy 41,Lutz,28.141959,-82.463964,4.0,40,a93
ATR3,jfUi8z_bi5Ih1MvG4MqL-w,Tips And Toes Nail Spa,28901 US Hwy 19 N,Clearwater,28.035449,-82.737615,4.0,21,a93
ATR3,jnSKRJkNs1F5a2wWDem6xg,Noire Nail Bar of Clearwater,25949 US Hwy 19 N,Clearwater,28.008442,-82.72982,3.5,42,a132
ATR3,kTjWrQIpVXMle5FTNlerWw,T&T Nails and Spa,1922 Oak Grove Blvd,Lutz,28.1845819,-82.4125522,4.5,14,a60
ATR3,mnYFBNgk6amFOi-Y5L5xig,Bijou Nails & Spa,3844 US 301 Hwy,Riverview,27.9138357965,-82.3471505595,4.0,39,a79
ATR3,o7S4SXloTfy8i7ESiJeNqw,Sun City Nails,4848 Sun City Center Blvd,Sun City Center,27.7139071,-82.3373422,3.5,25,a12
ATR3,oErQbBtEpyK3XmhmQNimFg,Chelsea Loves Salon,8501 Old Cr 54,New Port Richey,28.2174081,-82.6740787,4.0,9,a273
ATR3,rZFm1YslDSv-Uy2oZ41eIQ,Avalon Spa & Nails,"28347 Paseo Dr, Ste 100",Wesley Chapel,28.1886714,-82.346799,4.5,73,a171
ATR3,sZpCsqIbCfHr-CziYw-O1g,Strawberry Organic Nail & Spa,"2804 James L Redman Pkwy, Ste 105",Plant City,27.9848857,-82.1211006,4.0,44,a43
ATR3,tJuENHCYzFD9PqnrLRCnlg,LaPosh Salon,"2566 N McMullen Booth Rd, Ste D",Clearwater,28.0146708,-82.7100617,3.5,15,a360
ATR3,tS8yAIoKHKOdvDnvQDLMPw,Noire Nail Bar,17786 Aprile Dr,Lutz,28.195421,-82.5220717,3.0,31,a30
ATR3,udEMw0I9TF-yFyqLPcR4og,Victoria Nails,13727 N Dale Mabry Hwy,Tampa,28.070721,-82.505412,4.0,24,a172
ATR3,v1yoP9ALApAvRGQ07mSdWg,Crown Royal Nail Spa,6627 US Hwy 19,New Port Richey,28.254107,-82.728449,4.5,14,a320
ATR3,zm0SUU6PnnYgAO0Q2mLILA,Posh Nails & Spa,7737 W Hillsborough Ave,Tampa,27.9975182,-82.5682134,4.0,26,a304
ATR4,-9_F6sRmPdlbQ2n6n1whAg,Sun Nails,17627 Gunn Hwy,Odessa,28.127362,-82.574555,4.5,19,
ATR4,0K_sVYoJkjNJiqQPUR4OuQ,Tiffany Nail and Spa,2354 Tyrone Sq,Saint Petersburg,27.793985,-82.735475,2.0,41,
ATR4,1Bv7n9FpBmYF6cPN_ttobQ,The Bello Nails Bar,10025 N Dale Mabry Hwy,Tampa,28.0425050446,-82.5037400023,4.0,42,a38
ATR4,2Y-cy25mig7WM955KOcqMQ,LA Nails,11434 US-301,Riverview,27.834303092,-82.3265976472,2.0,62,a27
ATR4,3NY3Fg0TIpQlY38Y56cZXA,In Style Nails,"2655 E Bay Dr, Ste 3",Largo,27.916056836,-82.7595747855,4.0,6,a12
ATR4,4UkoDv3c2f6zZQkWapkGpQ,Excell Nails,793 Cortaro Dr,Sun City Center,27.714674,-82.370856,4.0,22,a22
ATR4,4Wwzk7wkTNZ8Gy0rekLPeQ,Lily,3944 W Hillsborough Ave,Tampa,27.9947519297,-82.5107493997,2.5,12,
ATR4,5UJvJ9L_eeGp0Z28hW4h4w,T-Nails,1057 S Pinellas Ave,Tarpon Springs,28.138086,-82.75545,4.5,20,
ATR4,5a-L0OU42JPK55h3oGowZQ,American Nails,223 Apollo Beach Blvd,Apollo Beach,27.770959,-82.39337,4.0,8,
ATR4,77AGvT1KkYZJtyr6egeiZg,TT Nails,9301 N 56th St,Temple Terrace,28.0342408,-82.3933612,3.0,19,a19
ATR4,7fWrs0xpexUnvWM1HmeTAw,J & J Nails,9203 Little Rd,New Port Richey,28.290791,-82.677099,3.0,15,a41
ATR4,7hGpL1Qv3Y3qYgJCP6UeEA,Classy Nails,9832 US Highway 301 S,Riverview,27.855643,-82.3250742,3.5,7,
ATR4,7oej-sB_s108ZAK1ATIAPg,B Nails and Hair,3314 W Kennedy Blvd,Tampa,27.9444467,-82.498143,1.5,6,a162
ATR4,81ar54e8Q-4KCyklM5HwQQ,Lithia Nail Design,3464 Lithia Pinecrest Rd,Valrico,27.8911957,-82.2429388,2.5,22,
ATR4,8231LyFApqIr480PKQR2cw,Bella Nails & Spa,26242 US Hwy 19 N,Clearwater,28.018614,-82.738147,2.5,5,a44
ATR4,8OZE7p7wlb_0ANEJvIPXdA,Nailport Express,9145 US Hwy 19,Pinellas Park,27.8547127567,-82.6932847663,4.0,7,a256
ATR4,90OogtpYzvIfHrBtgxgbIQ,D K Nail and Spa,12525 Spring Hill Dr,Spring Hill,28.4662818,-82.5140808,4.0,9,a100
ATR4,9auCaEUzg1-X4XcxI5l2sg,Artistic Nails & Spa,"1300 E Bay Dr, Ste A",Largo,27.917163,-82.773393,4.5,11,a137
ATR4,9fuSR8RN6E6T20DNVSqZ8g,Joy's Nails & Spa,"1701 S Alexander St, Ste 107",Plant City,27.9992145,-82.1386382,3.0,11,a288
ATR4,9g-lcizIhddq4L4iurt5qg,T D Nail and Spa,4707 W Gandy Blvd,Tampa Bay,27.8937422,-82.5251639,4.5,29,a80
ATR4,9hbShOYWAjjfl8bJy7n3pA,Eternal Nails & Spa,"2223 N W Shore Blvd, Ste 150C, International Plaza",Tampa,27.9744947,-82.5239807,2.0,31,a21
ATR4,9j1yT205wwkY7Mta2cldZw,Vi Nails & Spa,8544 Gunn Hwy,Odessa,28.086056103,-82.5806184514,4.0,12,a173
ATR4,A5_HplBv4jOunj9x5XcdLQ,Excellent Nails,35164 US Hwy 19 N,Palm Harbor,28.0923604,-82.7411875,4.0,24,a120
ATR4,AM8eRvo7QD0QJtca7PYuGQ,Noire The Nail Bar,6779 22nd Ave N,Saint Petersburg,27.7929754,-82.7311397,3.5,31,a213
ATR4,AMp2Bg1D_efzaAaSGa1qGw,Hot Nails,"7570 Starkey Rd, Ste G",Seminole,27.8404001,-82.7634715,4.5,14,
